alg     trat    ecusto  bloco
A	1	1244	1
A	1	21	2
A	1	82	3
A	1	2221	4
A	1	905	5
A	1	839	6
A	1	527	7
A	1	122	8
B	2	281	1
B	2	129	2
B	2	396	3
B	2	1306	4
B	2	336	5
B	2	910	6
B	2	473	7
B	2	199	8
C	3	220	1
C	3	84	2
C	3	458	3
C	3	543	4
C	3	300	5
C	3	794	6
C	3	488	7
C	3	142	8
D	4	225	1
D	4	83	2
D	4	425	3
D	4	552	4
D	4	291	5
D	4	826	6
D	4	509	7
D	4	153	8
E	5	19	1
E	5	11	2
E	5	-34	3
E	5	121	4
E	5	15	5
E	5	103	6
E	5	87	7
E	5	-17	8
F	6	-20	1
F	6	35	2
F	6	-53	3
F	6	170	4
F	6	104	5
F	6	199	6
F	6	142	7
F	6	41	8
